course_name,platform,language,url
"Complete SQL Bootcamp for Data Science, Analytics, Marketing",Udemy,English,https://www.classcentral.com/course/udemy-sql-for-marketers-data-analytics-data-scien-67056
Tableau Expert: Top Visualization Techniques in Tableau 10,Udemy,English,https://www.classcentral.com/course/udemy-mastering-top-visualization-techniques-in-t-67515
"Complete Course on Data Visualization, Matplotlib and Python",Udemy,English,https://www.classcentral.com/course/udemy-complete-course-on-data-visualization-matpl-67728
The Complete Pandas Bootcamp 2021: Data Science with Python,Udemy,English,https://www.classcentral.com/course/udemy-the-pandas-bootcamp-26538
Data Processing with Logstash (and Filebeat),Udemy,English,https://www.classcentral.com/course/udemy-processing-events-with-logstash-41988
48 Charts in Tableau 2020 -  Basic to Intermediate,Udemy,English,https://www.classcentral.com/course/udemy-tableaupavanlalwani-67415
Beginner Statistics for Data Analytics - Learn the Easy Way!,Udemy,English,https://www.classcentral.com/course/udemy-beginner-stats-68393
Learning Apache Hadoop EcoSystem- Hive,Udemy,English,https://www.classcentral.com/course/udemy-learning-apache-hive-66650
Tableau Desktop for Data Analysis & Data Visualization,Udemy,English,https://www.classcentral.com/course/udemy-up-running-with-tableau-desktop-69325
Tableau 10 Desktop Training,Udemy,English,https://www.classcentral.com/course/udemy-tableau-10-67217
Complete Data Science Training with Python for Data Analysis,Udemy,English,https://www.classcentral.com/course/udemy-complete-data-science-training-with-python--36746
SQL For Data Science With Google Big Query,Udemy,English,https://www.classcentral.com/course/udemy-sql-for-data-science-with-google-big-query-68137
Time Series Analysis in Python 2022,Udemy,English,https://www.classcentral.com/course/udemy-time-series-analysis-in-python-68789
Process Flowcharts & Process Mapping - The Advanced Guide,Udemy,English,https://www.classcentral.com/course/udemy-advanced-process-flowcharts-68090
Tableau Certified Associate in 60 Minutes with Practice Exam,Udemy,English,https://www.classcentral.com/course/udemy-tableau-certified-in-60-minutes-36789
Learn SQL for Data Analysis with Google Big Query,Udemy,English,https://www.classcentral.com/course/udemy-learn-sql-for-data-analysis-with-google-big-68543
Introduction to Time Series Analysis and Forecasting in R,Udemy,English,https://www.classcentral.com/course/udemy-time-series-analysis-and-forecasting-in-r-33662
Careers in Data Science A-Z™,Udemy,English,https://www.classcentral.com/course/udemy-careers-in-data-science-a-ztm-33747
Data Storytelling and Data Visualization [2022],Udemy,English,https://www.classcentral.com/course/udemy-mastering-the-art-of-data-visualization-202-69180
Intro to Data Science: Your Step-by-Step Guide To Starting,Udemy,English,https://www.classcentral.com/course/udemy-intro-to-data-science-33788
TABLEAU 2018: Hands-On Tableau Training For Data Science!,Udemy,English,https://www.classcentral.com/course/udemy-tableau-2018-68034
Hadoop Developer In Real World,Udemy,English,https://www.classcentral.com/course/udemy-hadoopinrealworld-66740
Apache Spark for Java Developers,Udemy,English,https://www.classcentral.com/course/udemy-apache-spark-for-java-developers-68216
Tableau 2019 + Tableau 2018: Tableau DS Certification,Udemy,English,https://www.classcentral.com/course/udemy-tableau-desktop-specialist-certification-38681
Statistics for Data Analysis Using Excel 2016,Udemy,English,https://www.classcentral.com/course/udemy-statistics-using-excel-23374
CCA 175 - Spark and Hadoop Developer Certification - Scala,Udemy,English,https://www.classcentral.com/course/udemy-cca-175-spark-and-hadoop-developer-certific-32977
SAS Programming Complete: Learn SAS and Become a Data Ninja,Udemy,English,https://www.classcentral.com/course/udemy-sascompletetutorial-67172
Elasticsearch 6 and Elastic Stack - In Depth and Hands On!,Udemy,English,https://www.classcentral.com/course/udemy-elasticsearch-6-and-elastic-stack-in-depth--67694
TIBCO Cloud Spotfire Data Visualization and Analytics,Udemy,English,https://www.classcentral.com/course/udemy-tibco-cloud-spotfire-713-certified-analytic-68080
Grafana Beginner to Advanced (3rd Edition),Udemy,English,https://www.classcentral.com/course/udemy-grafana-graphite-and-statsd-visualize-metri-67690
Tableau Specialist Certification Prep,Udemy,English,https://www.classcentral.com/course/udemy-tableau-specialist-certification-prep-38707
Taming Big Data with MapReduce and Hadoop - Hands On!,Udemy,English,https://www.classcentral.com/course/udemy-taming-big-data-with-mapreduce-and-hadoop-66866
Streaming Big Data with Spark Streaming and Scala - Hands On,Udemy,English,https://www.classcentral.com/course/udemy-taming-big-data-with-spark-streaming-hands--23343
The Data Analyst Course: Complete Data Analyst Bootcamp 2022,Udemy,English,https://www.classcentral.com/course/udemy-the-data-analyst-course-complete-data-analy-69645
Introduction to Apache NiFi | Cloudera DataFlow - HDF 2.0,Udemy,English,https://www.classcentral.com/course/udemy-apache-nifi-67279
Complete 2020 Data Science & Machine Learning Bootcamp,Udemy,English,https://www.classcentral.com/course/udemy-python-data-science-machine-learning-bootca-23808
Complete Tableau 2021 Training for Absolute Beginners,Udemy,English,https://www.classcentral.com/course/udemy-tableau-for-beginners-68400
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,Udemy,English,https://www.classcentral.com/course/udemy-sqldatabases-24753
Big Data and Hadoop for Beginners - with Hands-on!,Udemy,English,https://www.classcentral.com/course/udemy-big-data-and-hadoop-for-beginners-66840
SAS Programming BASE certification course for SAS Beginners,Udemy,English,https://www.classcentral.com/course/udemy-sas-programming-for-beginners-35340
Elasticsearch 7 and the Elastic Stack: In Depth and Hands On,Udemy,English,https://www.classcentral.com/course/udemy-elasticsearch-7-and-elastic-stack-68558
Cluster Analysis and Unsupervised Machine Learning in Python,Udemy,English,https://www.classcentral.com/course/udemy-cluster-analysis-unsupervised-machine-learn-23325
Scala and Spark for Big Data and Machine Learning,Udemy,English,https://www.classcentral.com/course/udemy-scala-and-spark-for-big-data-and-machine-le-23365
Hive to ADVANCE Hive (Real time usage) :Hadoop querying tool,Udemy,English,https://www.classcentral.com/course/udemy-hadoop-querying-tool-hive-to-advance-hivere-67466
QlikSense Visualizations Masterclass,Udemy,English,https://www.classcentral.com/course/udemy-qliksense-visualizations-masterclass-68023
Mastering data visualization in D3.js [2020 UPDATE],Udemy,English,https://www.classcentral.com/course/udemy-masteringd3js-23732
Python for Time Series Data Analysis,Udemy,English,https://www.classcentral.com/course/udemy-python-for-time-series-data-analysis-36065
D3.js Data Visualization Fundamentals - Hands On,Udemy,English,https://www.classcentral.com/course/udemy-d3jsbasics-69135
Certificate in Qlik Sense Analytics Development,Udemy,English,https://www.classcentral.com/course/udemy-is-my-startup-doing-ok-66832
The Complete Tableau Bootcamp for Data Visualization,Udemy,English,https://www.classcentral.com/course/udemy-complete-tableau-bootcamp-dashboards-68583
Complete Machine Learning & Data Science Bootcamp 2021,Udemy,English,https://www.classcentral.com/course/udemy-complete-machine-learning-and-data-science--23344
Master Course in Tableau for Business Intelligence,Udemy,English,https://www.classcentral.com/course/udemy-mastertableau-67171
Master SQL For Data Science,Udemy,English,https://www.classcentral.com/course/udemy-master-sql-for-data-science-67411
SPSS Masterclass: Learn SPSS From Scratch to Advanced,Udemy,English,https://www.classcentral.com/course/udemy-spss-statistics-foundation-course-from-scra-67071
Data Analysis Essentials Using Excel,Udemy,English,https://www.classcentral.com/course/udemy-business-data-analysis-excel-67406
Data Science and Machine Learning Bootcamp with R,Udemy,English,https://www.classcentral.com/course/udemy-data-science-and-machine-learning-bootcamp--23363
Complete Guide to Elasticsearch,Udemy,English,https://www.classcentral.com/course/udemy-elasticsearch-complete-guide-32321
Data Analysis with Pandas and Python,Udemy,English,https://www.classcentral.com/course/udemy-data-analysis-with-pandas-24005
Learn Big Data: The Hadoop Ecosystem Masterclass,Udemy,English,https://www.classcentral.com/course/udemy-learn-big-data-the-hadoop-ecosystem-masterc-67034
Complete Elasticsearch Masterclass with Logstash and Kibana,Udemy,English,https://www.classcentral.com/course/udemy-complete-elasticsearch-masterclass-with-kib-67412
"Tableau for Beginners: Get DA Certified, Grow Your Career",Udemy,English,https://www.classcentral.com/course/udemy-tableau-accelerate-your-career-and-get-cert-66862
Apache Spark with Scala - Hands On with Big Data!,Udemy,English,https://www.classcentral.com/course/udemy-apache-spark-with-scala-hands-on-with-big-d-23322
Tableau 20 Advanced Training: Master Tableau in Data Science,Udemy,English,https://www.classcentral.com/course/udemy-tableau10-advanced-67177
Statistics for Data Science and Business Analysis,Udemy,English,https://www.classcentral.com/course/udemy-statistics-for-data-science-and-business-an-23356
Introduction to Machine Learning for Data Science,Udemy,English,https://www.classcentral.com/course/udemy-machine-learning-for-data-science-23333
The Ultimate Hands-On Hadoop: Tame your Big Data!,Udemy,English,https://www.classcentral.com/course/udemy-the-ultimate-hands-on-hadoop-tame-your-big--61230
"Machine Learning, Data Science and Deep Learning with Python",Udemy,English,https://www.classcentral.com/course/udemy-data-science-and-machine-learning-with-pyth-23373
Microsoft Excel - Advanced Excel Formulas & Functions,Udemy,English,https://www.classcentral.com/course/udemy-excel-for-analysts-26262
The Caltech-JPL Summer School on Big Data Analytics,Coursera,English,https://www.classcentral.com/course/bigdataschool-2482
Explaining Your Data Using Tableau,Coursera,English,https://www.classcentral.com/course/dataviz-explain-6807
Data Science A-Z™: Real-Life Data Science Exercises Included,Udemy,English,https://www.classcentral.com/course/udemy-datascience-23317
Big Data: Mathematical Modelling,FutureLearn,English,https://www.classcentral.com/course/big-data-mathematical-modelling-5422
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Coursera,English,https://www.classcentral.com/course/big-data-essentials-9505
Essential Statistics for Data Analysis using Excel,edX,English,https://www.classcentral.com/course/edx-essential-statistics-for-data-analysis-using-excel-8248
Big Data: Data Visualisation,FutureLearn,English,https://www.classcentral.com/course/big-data-visualisation-5423
Big Data Tools,Coursera,English,https://www.classcentral.com/course/bigdata-tools-11307
Temporal and Hierarchical Data Analysis,Coursera,English,https://www.classcentral.com/course/temporal-and-hierarchical-analysis-11305
Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,Udemy,English,https://www.classcentral.com/course/udemy-tableau10-61173
The Data Science Course 2020: Complete Data Science Bootcamp,Udemy,English,https://www.classcentral.com/course/udemy-the-data-science-course-complete-data-scien-23366
Data to Insight: An Introduction to Data Analysis and Visualisation,FutureLearn,English,https://www.classcentral.com/course/data-to-insight-2129
Data Analysis: Visualization and Dashboard Design,edX,English,https://www.classcentral.com/course/edx-data-analysis-visualization-and-dashboard-design-5388
Additional Tools Used for Data Visualization,Coursera,English,https://www.classcentral.com/course/data-visualization-tools-11303
Data Management in the Cloud,Coursera,English,https://www.classcentral.com/course/data-management-cloud-11301
"Statistics for Researchers: Understanding Mediation, Moderation and Beyond",Coursera,English,https://www.classcentral.com/course/uva-darden-understanding-data-tools-8922
Introduction to Data Exploration and Visualization,Coursera,English,https://www.classcentral.com/course/intro-to-data-exploration-11220
Introduction to R for Data Science,FutureLearn,English,https://www.classcentral.com/course/data-science-8118
Programming with Python for Data Science,edX,English,https://www.classcentral.com/course/edx-programming-with-python-for-data-science-6471
Statistical Predictive Modelling and Applications,edX,English,https://www.classcentral.com/course/edx-statistical-predictive-modelling-and-applications-14422
Processing Big Data with Hadoop in Azure HDInsight,edX,English,https://www.classcentral.com/course/edx-processing-big-data-with-hadoop-in-azure-hdinsight-3917
Data Science 2021 : Complete Data Science & Machine Learning,Udemy,English,https://www.classcentral.com/course/udemy-complete-data-science-and-machine-learning--34269
Social Media Analytics: Using Data to Understand Public Conversations,FutureLearn,English,https://www.classcentral.com/course/social-media-analytics-6135
Delivering Research Data Management Services,FutureLearn,English,https://www.classcentral.com/course/delivering-research-data-management-services-13856
"Communicating Results: Visualization, Ethics, Reproducibility",Coursera,English,https://www.classcentral.com/course/datasci3-4247
How to Win a Data Science Competition: Learn from Top Kagglers,Coursera,English,https://www.classcentral.com/course/competitive-data-science-9605
Data Science Essentials,edX,English,https://www.classcentral.com/course/edx-data-science-essentials-6512
Advanced Machine Learning,FutureLearn,English,https://www.classcentral.com/course/advanced-machine-learning-10341
FA19: Statistical Modeling and Regression Analysis,edX,English,https://www.classcentral.com/course/edx-fa19-statistical-modeling-and-regression-analysis-8996
"Business Statistics, Data Analysis, and Decision Making: Part 2",Coursera,English,https://www.classcentral.com/course/business-statistics-2-5245
Inteligencia artificial aplicada,edX,Spanish,https://www.classcentral.com/course/ibm-inteligencia-artificial-aplicada-20672
Successfully Evaluating Predictive Modelling,edX,English,https://www.classcentral.com/course/edx-successfully-evaluating-predictive-modelling-14421
Big Data Analytics in Healthcare,edX,English,https://www.classcentral.com/course/edx-big-data-analytics-in-healthcare-9045
Ciencia de datos con Python,edX,Spanish,https://www.classcentral.com/course/ibm-ciencia-de-datos-con-python-21953
Big Data: Statistical Inference and Machine Learning,FutureLearn,English,https://www.classcentral.com/course/big-data-machine-learning-5421
Foundations of Data Analysis - Part 2: Inferential Statistics,edX,English,https://www.classcentral.com/course/edx-foundations-of-data-analysis-part-2-inferential-statistics-4804
IBM: Fundamentos de ciencia de datos,edX,Spanish,https://www.classcentral.com/course/ibm-fundamentos-de-ciencia-de-datos-20681
IBM: Ciencia de datos,edX,Spanish,https://www.classcentral.com/course/ibm-ciencia-de-datos-21950
Data Engineering on Google Cloud Platform em Português Brasileiro,Coursera,Portuguese,https://www.classcentral.com/course/gcp-data-machine-learning-br-18791
数据科学 | Data Science,edX,Chinese,https://www.classcentral.com/course/tsinghuax-data-science-18452
Data Engineering on Google Cloud Platform en Français,Coursera,French,https://www.classcentral.com/course/gcp-data-machine-learning-fr-18847
Data Engineering on Google Cloud Platform 日本語版,Coursera,Japanese,https://www.classcentral.com/course/gcp-data-machine-learning-jp-18676
Data Engineering on Google Cloud Platform en Español,Coursera,Spanish,https://www.classcentral.com/course/gcp-data-machine-learning-es-18902
Ciencia de Datos Aplicada,Coursera,Spanish,https://www.classcentral.com/course/ciencia-de-datos-aplicada-22439
Introducción a la Especialización en Ciencia de Datos,Coursera,Spanish,https://www.classcentral.com/course/introduccion-a-la-especializacion-en-ciencia-de-d-22280
Bases de Inteligencia Artificial para Todos,Coursera,Spanish,https://www.classcentral.com/course/bases-de-inteligencia-artificial-para-todos-22281
"Data Engineer, Big Data and ML on Google Cloud auf Deutsch",Coursera,German,https://www.classcentral.com/course/gcp-data-machine-learning-de-21670
"Data Engineering, Big Data and ML on Google Cloud 日本語版",Coursera,Japanese,https://www.classcentral.com/course/gcp-data-machine-learning-jp-21681
From Data to Insights with Google Cloud Platform 日本語版,Coursera,Japanese,https://www.classcentral.com/course/from-data-to-insights-google-cloud-platform-jp-18826
"Data Engineer, Big Data and ML on Google Cloud en Français",Coursera,French,https://www.classcentral.com/course/gcp-data-machine-learning-fr-21696
"Data Engineer, Big Data and ML on Google Cloud auf Deutsch",Coursera,German,https://www.classcentral.com/course/gcp-data-machine-learning-de-18571
Minería de datos aplicada al marketing,edX,Spanish,https://www.classcentral.com/course/anahuacx-mineria-de-datos-aplicada-al-marketing-48037
Fundamentos de Ciencia de Datos con R,edX,Spanish,https://www.classcentral.com/course/anahuacx-fundamentos-de-ciencia-de-datos-con-r-20678
Ciencia de Datos de IBM,Coursera,Spanish,https://www.classcentral.com/course/certificado-profesional-de-ciencia-de-datos-de-ib-22276
Fundamentos del Análisis y Visualización de Datos,Coursera,Spanish,https://www.classcentral.com/course/fundamentos-del-analisis-y-visualizacion-de-datos-32634
"Data Engineer, Big Data and ML on Google Cloud em Português",Coursera,Portuguese,https://www.classcentral.com/course/gcp-data-machine-learning-br-21698
"Data Engineering, Big Data and ML on Google Cloud en Español",Coursera,Spanish,https://www.classcentral.com/course/gcp-data-machine-learning-es-21699
Python aplicado a la Ciencia de Datos,edX,Spanish,https://www.classcentral.com/course/anahuacx-python-aplicado-a-la-ciencia-de-datos-21968
Анализ данных,Coursera,Russian,https://www.classcentral.com/course/analiz-dannykh-18620
"Big Data, Cloud Computing, & CDN Emerging Technologies",Coursera,English,https://www.classcentral.com/course/coursera-big-data-cloud-computing-cdn-emerging-technologies-3931
Introduction to Data Science,edX,English,https://www.classcentral.com/course/edx-introduction-to-data-science-6405
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,Coursera,Japanese,https://www.classcentral.com/course/gcp-data-engineering-jp-21946
Big Data: Measuring And Predicting Human Behaviour,FutureLearn,English,https://www.classcentral.com/course/big-data-3295
Data Mining Capstone,Coursera,English,https://www.classcentral.com/course/dataminingcapstone-4154
Big Data: capstone project,Coursera,Spanish,https://www.classcentral.com/course/big-data-proyecto-12283
Maestría en Inteligencia Analítica de Datos,Coursera,Spanish,https://www.classcentral.com/course/uniandes-master-data-analytics-20886
High Performance Scientific Computing,Coursera,English,https://www.classcentral.com/course/scicomp-764
Essential quantitative business skills,edX,Spanish,https://www.classcentral.com/course/tecdemonterreyx-essential-quantitative-business-s-37713
"Habilidades cuantitativas esenciales en finanzas, negocios y ciencia de datos",edX,Spanish,https://www.classcentral.com/course/tecdemonterreyx-habilidades-cuantitativas-esencia-20677
Análisis de Datos para la toma de decisiones,Coursera,Spanish,https://www.classcentral.com/course/analisis-datos-18694
Créer un diagramme d’affinité avec Creately,Coursera,French,https://www.classcentral.com/course/creer-diagramme-affinite-creately-65964
Utiliser LucidChart pour petites entreprises,Coursera,French,https://www.classcentral.com/course/utiliser-lucidchart-pour-petites-entreprises-65787
Big Data – Introducción al uso práctico de datos masivos ,Coursera,Spanish,https://www.classcentral.com/course/big-data-introduccion-18699
Introducción a Scala en Big data con Databricks,Coursera,Spanish,https://www.classcentral.com/course/scala-big-data-22794
DataViz - Grammaire des Graphiques avec Python,Coursera,French,https://www.classcentral.com/course/dataviz-grammaire-des-graphiques-avec-python-33415
Trabajando con Dask,Coursera,Spanish,https://www.classcentral.com/course/trabajando-dask-53013
Crea tus dashboards y aplicaciones interactivas con R Shiny,Coursera,Spanish,https://www.classcentral.com/course/r-shiny-45981
Series Temporales con Pycaret y Python,Coursera,Spanish,https://www.classcentral.com/course/series-temporales-con-pycaret-python-55795
مقدمة لتحليل البيانات باستخدام جدول البيانات ,Coursera,Arabic,https://www.classcentral.com/course/introduction-to-business-analysis-by-sheets-22304
Ciclo completo del desarrollo de un proyecto de Data Science,Coursera,Spanish,https://www.classcentral.com/course/ciclo-completo-del-desarrollo-de-un-proyecto-de-d-66505
Analyser vos données avec Python,Coursera,French,https://www.classcentral.com/course/analyser-donnees-python-33413
مقدمة إلى مخططات البيانات,Coursera,Arabic,https://www.classcentral.com/course/muqadimat-fi-mukhatatat-albayanat-66403
Explorar precios de acciones con Spark SQL,Coursera,Spanish,https://www.classcentral.com/course/explorar-data-con-spark-sql-21327
Análisis de datos para la toma de decisiones empresariales,edX,Spanish,https://www.classcentral.com/course/galileox-analisis-de-datos-para-la-toma-de-decisi-18378
Mejores prácticas para el procesamiento de datos en Big Data,Coursera,Spanish,https://www.classcentral.com/course/mejores-practicas-big-data-20281
Nettoyer vos données avec Python,Coursera,French,https://www.classcentral.com/course/nettoyer-donnees-python-21655
Практики анализа экономических данных от простого к сложному,Coursera,Russian,https://www.classcentral.com/course/analiz-ekonomicheskikh-dannykh-18536
Data Science con Python e R,Coursera,Italian,https://www.classcentral.com/course/data-science-con-python-e-r-43859
COVID-19 : Les séries temporelles avec Python et Pandas,Coursera,French,https://www.classcentral.com/course/covid-19-series-temporelles-python-21408
Visualización de datos: Análisis de datos con Tableau,edX,Spanish,https://www.classcentral.com/course/federica-visualizacion-de-datos-analisis-de-datos-47277
"Data, Models and Decisions in Business Analytics",edX,English,https://www.classcentral.com/course/edx-data-models-and-decisions-in-business-analytics-8218
Анализ данных: финальный проект,Coursera,Russian,https://www.classcentral.com/course/data-analysis-project-5585
Data Visualization: Analisi dei dati con Tableau,edX,Italian,https://www.classcentral.com/course/federicax-analisi-dei-dati-con-tableau-21990
Scientific Computing,Coursera,English,https://www.classcentral.com/course/scientificcomp-416
Programming for Data Science with R,Udacity,English,https://www.classcentral.com/course/programming-for-data-science-nanodegree-with-R--n-18204
Análisis y Visualización de Datos con Excel,edX,Spanish,https://www.classcentral.com/course/delftx-analisis-y-visualizacion-de-datos-con-exce-18430
Математика для анализа данных,Coursera,Russian,https://www.classcentral.com/course/maths-for-data-analysis-23211
Introduction to Data Analysis using Excel,edX,English,https://www.classcentral.com/course/edx-introduction-to-data-analysis-using-excel-6544
How to Clean Data with Python,Codecademy,English,https://www.classcentral.com/course/codecademy-practical-data-cleaning-59984
Machine Learning for Data Science: Machine Learning Devops,Udacity,English,https://www.classcentral.com/course/machine-learning-dev-ops-engineer-nanodegree--nd0-48144
Text Preprocessing,Codecademy,English,https://www.classcentral.com/course/codecademy-text-preprocessing-59965
Learn Data Analysis with Pandas,Codecademy,English,https://www.classcentral.com/course/codecademy-data-processing-pandas-60004
Learn Linear Regression in R,Codecademy,English,https://www.classcentral.com/course/codecademy-learn-linear-regression-in-r-59982
Learn p5.js,Codecademy,English,https://www.classcentral.com/course/codecademy-learn-p5js-59967
Hypothesis Testing with Python,Codecademy,English,https://www.classcentral.com/course/codecademy-hypothesis-testing-python-59962
Applying Data Science to Product Management,Udacity,English,https://www.classcentral.com/course/applying-data-science-to-product-management--nd03-20655
Data Visualization,Udacity,English,https://www.classcentral.com/course/data-visualization-nanodegree--nd197-18198
Getting Started Off Platform for Data Science,Codecademy,English,https://www.classcentral.com/course/codecademy-getting-started-off-platform-for-data--59919
Exploratory Data Analysis in Python,Codecademy,English,https://www.classcentral.com/course/codecademy-eda-exploratory-data-analysis-python-59937
BI Dashboards with Tableau,Codecademy,English,https://www.classcentral.com/course/codecademy-bi-dashboards-with-tableau-59927
Learn Statistics with Python,Codecademy,English,https://www.classcentral.com/course/codecademy-learn-statistics-with-python-60028
Learn D3,Codecademy,English,https://www.classcentral.com/course/codecademy-learn-d3-60010
Learn Statistics with NumPy,Codecademy,English,https://www.classcentral.com/course/codecademy-intro-statistics-numpy-60011
Building Resilient Streaming Analytics Systems on Google Cloud,Pluralsight,English,https://www.classcentral.com/course/pluralsight-building-resilient-streaming-analytic-63160
Learn Data Visualization with Python,Codecademy,English,https://www.classcentral.com/course/codecademy-data-visualization-python-60007
Windowing and Join Operations on Streaming Data with Apache Spark on Databricks,Pluralsight,English,https://www.classcentral.com/course/pluralsight-windowing-join-operations-apache-spar-63323
Executing Graph Algorithms with GraphFrames on Databricks ,Pluralsight,English,https://www.classcentral.com/course/pluralsight-executing-graph-algorithms-graphframe-63325
Predictive Analytics Using Apache Spark MLlib on Databricks ,Pluralsight,English,https://www.classcentral.com/course/pluralsight-predictive-analytics-apache-spark-mli-63403
Approaches to Data Enabled Decision Making,Pluralsight,English,https://www.classcentral.com/course/pluralsight-approaches-data-enabled-decision-maki-63291
Handling Batch Data with Apache Spark on Databricks,Pluralsight,English,https://www.classcentral.com/course/pluralsight-hadling-batch-data-apache-spark-datab-63404
Building Dashboards from Prometheus Data in Grafana,Pluralsight,English,https://www.classcentral.com/course/pluralsight-prometheus-grafana-building-dashboard-63402
Analyze Endpoint Data with Elasticsearch,Pluralsight,English,https://www.classcentral.com/course/pluralsight-analyze-endpoint-data-elasticsearch-57318
Tableau Desktop Certified Professional: Visual Best Practices,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-professiona-57371
 Handling Batch Data with Apache Spark on Databricks,Pluralsight,English,https://www.classcentral.com/course/pluralsight-handling-batch-data-apache-spark-data-63265
Installing the Elastic Stack,Pluralsight,English,https://www.classcentral.com/course/pluralsight-installing-elastic-stack-57474
Data Wrangling and Ingestion using Python,FutureLearn,English,https://www.classcentral.com/course/data-analytics-python-data-wrangling-and-ingestio-25402
Tableau Desktop Certified Professional - Advanced Technical Skills,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-professiona-57542
Python Packages: NumPy and Pandas Dataframe,FutureLearn,English,https://www.classcentral.com/course/data-analytics-python-learning-python-functions-25401
Processing Streaming Data with Apache Spark on Databricks,Pluralsight,English,https://www.classcentral.com/course/pluralsight-processing-streaming-data-apache-spar-63405
Optimizing Apache Spark on Databricks,Pluralsight,English,https://www.classcentral.com/course/pluralsight-optimizing-apache-spark-databricks-63318
Tableau Desktop Certified Professional  - Storytelling,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-professiona-49650
Data Visualisation: Data Visualisation with Tableau Fundamentals,FutureLearn,English,https://www.classcentral.com/course/data-visualisation-core-elements-and-theories-25404
SQL for Data Analysis,FutureLearn,English,https://www.classcentral.com/course/data-analytics-for-business-manipulating-and-inte-25396
Excel for Data Analysis,FutureLearn,English,https://www.classcentral.com/course/data-analytics-for-business-creating-databases-25395
Build Your First Data Visualization with ng2-charts,Pluralsight,English,https://www.classcentral.com/course/pluralsight-build-first-data-visualization-ng-two-49656
Data Visualisation: Data Dashboards and Storytelling with Tableau,FutureLearn,English,https://www.classcentral.com/course/data-visualisation-prediction-and-ethics-25405
Data Visualisation: Creating charts and complex visualisations in Tableau,FutureLearn,English,https://www.classcentral.com/course/data-visualisation-communicate-key-metrics-throug-25403
Tableau Desktop Certified Associate - Dashboards,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-d-57485
Tableau Desktop Certified Associate - Organizing & Simplifying Data,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-o-49669
Tableau Desktop Certified Associate - Analytics,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-a-49687
Basic Statistics for Data Analysis Course,Treehouse,English,https://www.classcentral.com/course/treehouse-basic-statistics-for-data-analysis-45348
Cleaning and Preparing Data Course,Treehouse,English,https://www.classcentral.com/course/treehouse-cleaning-and-preparing-data-45421
Tableau Desktop Certified Associate - Field & Chart Types,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-f-49685
Introduction to NumPy Course,Treehouse,English,https://www.classcentral.com/course/treehouse-introduction-to-numpy-45441
Basic Math for Data Analysis Course,Treehouse,English,https://www.classcentral.com/course/treehouse-basic-math-for-data-analysis-45360
Tableau Desktop Certified Associate - Calculations,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-c-49652
Tableau Desktop Certified Associate - Data Connections,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-d-49689
Introduction to Data Visualization with Matplotlib Course,Treehouse,English,https://www.classcentral.com/course/treehouse-introduction-to-data-visualization-with-45462
Tableau Desktop Certified Associate - Mapping,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-certified-associate-m-49681
Data Analysis Basics Course,Treehouse,English,https://www.classcentral.com/course/treehouse-data-analysis-basics-45470
Data Visualization with Bokeh Course,Treehouse,English,https://www.classcentral.com/course/treehouse-data-visualization-with-bokeh-45496
Introduction to Big Data Course,Treehouse,English,https://www.classcentral.com/course/treehouse-introduction-to-big-data-45499
Tableau Desktop Specialist - Understanding Dimensions vs. Measures and Discrete vs. Continuous,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-specialist-understand-49725
Tableau Desktop Specialist - Creating and Modifying a Dashboard,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-specialist-creating-m-49733
Tableau Desktop Specialist - Modifying Data Connections,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-specialist-modifying--46519
Tableau Desktop Specialist - Understanding Aggregations,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-specialist-understand-49728
Tableau Desktop Specialist - Organizing Data and Applying Filters,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-specialist-organizing-46523
Perform Kibana Management Tasks,Pluralsight,English,https://www.classcentral.com/course/pluralsight-perform-kibana-management-tasks-49735
Serverless Data Processing with Dataflow: Operations,Pluralsight,English,https://www.classcentral.com/course/pluralsight-serverless-data-processing-dataflow-o-49767
Tableau Desktop Specialist - Managing Data Properties,Pluralsight,English,https://www.classcentral.com/course/pluralsight-tableau-desktop-specialist-managing-d-46518
